2015-07-13 10:32:48,238 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 5ms)
2015-07-13 10:32:48,288 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-07-13 10:32:48,293 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 5ms)
2015-07-13 10:32:48,293 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-07-13 10:32:48,300 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2015-07-13 10:32:49,213 [15] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D3] Initializing Examine and binding to business logic events
2015-07-13 10:32:49,401 [15] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D3] Adding examine event handlers for index providers: 3
2015-07-13 10:32:49,410 [15] INFO  Umbraco.Core.CoreBootManager - [T1/D3] Umbraco application startup complete (took 1563ms)
2015-07-13 10:32:49,616 [15] INFO  Umbraco.Web.UmbracoModule - [T16/D3] Setting OriginalRequestUrl: localhost:55191/umbraco
2015-07-13 10:32:49,703 [15] INFO  umbraco.content - [T16/D3] Load Xml from file...
2015-07-13 10:32:49,705 [15] INFO  umbraco.content - [T16/D3] Loaded Xml from file.
2015-07-13 10:32:49,822 [15] INFO  Umbraco.Core.PluginManager - [T16/D3] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-07-13 10:32:49,831 [15] INFO  Umbraco.Core.PluginManager - [T16/D3] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 7ms)
2015-07-13 10:32:57,483 [15] INFO  Umbraco.Core.PluginManager - [T12/D3] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-07-13 10:32:57,494 [15] INFO  Umbraco.Core.PluginManager - [T12/D3] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 10ms)
2015-07-13 10:38:43,835 [6] INFO  Umbraco.Core.CoreBootManager - [T1/D2] Umbraco application starting
2015-07-13 10:38:43,917 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Determining hash of code files on disk
2015-07-13 10:38:43,928 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Hash determined (took 8ms)
2015-07-13 10:38:43,941 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-07-13 10:38:44,114 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 171ms)
2015-07-13 10:38:44,212 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-07-13 10:38:44,216 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
